n_qubits,gs_sparsity,ham_sparsity,overlap,actual_overlap,Q_frac,Q_int,epsilon,seed,dim,gs_support_size,ham_nnz,gap,true_ground_energy,krab_final_energy,krab_rel_error_final,krab_final_subspace,krab_iterations_run,krab_max_iterations,krab_native_converged,krab_iter_to_target,krab_subspace_at_target,krab_n_states_to_target,krab_walltime_s,skqd_best_t,skqd_best_n_states_to_target,skqd_any_converged,skqd_best_final_energy,skqd_walltime_s,rand_median_n_states_to_target,rand_min_n_states_to_target,n_random_paths,krab_beats_skqd,advantage_ratio
10,0.1,0.1,0.1,0.05606159822354621,0.1,102,1e-06,42,1024,103,107962,1.0,-5.0000000000000195,-5.0000000000000036,3.1974423109204383e-15,103,5,30,True,3,173,100,0.11560936109162867,0.3,133,True,-5.000000000000038,444.3815426880028,1014.0,989,20,True,1.33
10,0.1,0.1,0.3,0.05606159822354621,0.1,102,1e-05,42,1024,103,107962,1.0,-5.000000000000018,-5.0000000000000115,1.243449787580171e-15,103,5,30,True,3,166,99,0.1252959631383419,0.4,135,True,-5.000000000000044,432.6765010440722,1017.5,992,20,True,1.3636363636363635
10,0.1,0.5,0.1,0.05606159822354621,0.1,102,1e-07,42,1024,103,526398,1.0,-5.0000000000000195,-5.000000000000002,3.552713678800487e-15,103,4,30,True,2,160,100,0.2959424280561507,0.6,122,True,-5.000000000000021,470.31218132493086,1011.0,977,20,True,1.22
10,0.1,0.1,0.8,0.05606159822354621,0.1,102,1e-06,42,1024,103,107962,1.0,-5.0000000000000195,-5.0000000000000036,3.1974423109204383e-15,103,5,30,True,3,173,100,0.11299191485159099,0.6,135,True,-5.000000000000049,428.5885762509424,1015.5,979,20,True,1.35
10,0.1,0.1,0.8,0.05606159822354621,0.1,102,1e-07,42,1024,103,107962,1.0,-5.000000000000002,-5.000000000000009,1.4210854715201999e-15,103,4,30,True,3,187,98,0.11386822606436908,0.5,135,True,-5.000000000000048,432.3990443130024,1012.0,992,20,True,1.3775510204081634
10,0.1,0.1,0.1,0.05606159822354621,0.05,51,1e-05,42,1024,103,107962,1.0,-5.000000000000028,-5.000000000000006,4.440892098500601e-15,103,7,60,True,6,140,97,0.08041669707745314,0.7,137,True,-5.0000000000000675,441.747793877963,1015.0,985,20,True,1.4123711340206186
10,0.1,0.5,0.1,0.05606159822354621,0.1,102,1e-05,42,1024,103,526398,1.0,-5.000000000000004,-5.000000000000003,3.5527136788004977e-16,103,4,30,True,2,139,101,0.18363023805432022,0.5,129,True,-5.000000000000059,517.431572804926,1016.5,977,20,True,1.2772277227722773
10,0.1,0.1,0.1,0.05606159822354621,0.05,51,0.0001,42,1024,103,107962,1.0,-5.000000000000006,-4.999932036894673,1.3592621066571536e-05,102,60,60,True,6,140,97,0.7657630650792271,0.3,137,True,-5.000000000000044,437.4756054948084,1013.0,965,20,True,1.4123711340206186
10,0.1,0.25,0.3,0.05606159822354621,0.1,102,1e-05,42,1024,103,264956,1.0,-5.000000000000013,-5.000000000000001,2.486899575160344e-15,103,4,30,True,3,192,94,0.09595920704305172,0.5,130,True,-5.000000000000031,393.6356841030065,1013.5,976,20,True,1.3829787234042554
10,0.1,0.1,0.5,0.05606159822354621,0.1,102,1e-05,42,1024,103,107962,1.0,-5.000000000000018,-5.0000000000000115,1.243449787580171e-15,103,5,30,True,3,166,99,0.2047676257789135,0.2,119,True,-5.000000000000049,430.84262113203295,1017.5,1001,20,True,1.202020202020202
