Hamiltonian_Index,Number_of_Sites,Dimensions,Delta,J,Bx,By,Bz,Ground_State_Density,Hamiltonian_Density,Overlap,Initial_State_Index,Algorithm,Budget,Budget_Fraction,Fidelity,Final_Pool_Size,Final_Pool_Fraction,Terminated_Early,Seed
2,10,1,100.0,0.0689,0.0,0.0,0.546175,0.01953125,0.009765625,3.123069145619171e-10,355,Ceiling,1,0.0009765625,0.4998129799908235,512.0,0.5,False,3427559039
2,10,1,100.0,0.0689,0.0,0.0,0.546175,0.01953125,0.009765625,3.123069145619171e-10,355,Ceiling,2,0.001953125,0.9996250634473811,512.0,0.5,False,3427559039
2,10,1,100.0,0.0689,0.0,0.0,0.546175,0.01953125,0.009765625,3.123069145619171e-10,355,Ceiling,3,0.0029296875,0.9996750401844787,512.0,0.5,False,3427559039
2,10,1,100.0,0.0689,0.0,0.0,0.546175,0.01953125,0.009765625,3.123069145619171e-10,355,Ceiling,4,0.00390625,0.9997250169215763,512.0,0.5,False,3427559039
2,10,1,100.0,0.0689,0.0,0.0,0.546175,0.01953125,0.009765625,3.123069145619171e-10,355,Ceiling,5,0.0048828125,0.9997749935690295,512.0,0.5,False,3427559039
2,10,1,100.0,0.0689,0.0,0.0,0.546175,0.01953125,0.009765625,3.123069145619171e-10,355,Ceiling,6,0.005859375,0.9998249702164828,512.0,0.5,False,3427559039
2,10,1,100.0,0.0689,0.0,0.0,0.546175,0.01953125,0.009765625,3.123069145619171e-10,355,Ceiling,7,0.0068359375,0.9998374669150999,512.0,0.5,False,3427559039
2,10,1,100.0,0.0689,0.0,0.0,0.546175,0.01953125,0.009765625,3.123069145619171e-10,355,Ceiling,9,0.0087890625,0.9998624602899185,512.0,0.5,False,3427559039
2,10,1,100.0,0.0689,0.0,0.0,0.546175,0.01953125,0.009765625,3.123069145619171e-10,355,Ceiling,11,0.0107421875,0.9998874517788837,512.0,0.5,False,3427559039
2,10,1,100.0,0.0689,0.0,0.0,0.546175,0.01953125,0.009765625,3.123069145619171e-10,355,Ceiling,13,0.0126953125,0.9999124412687798,512.0,0.5,False,3427559039
2,10,1,100.0,0.0689,0.0,0.0,0.546175,0.01953125,0.009765625,3.123069145619171e-10,355,Ceiling,16,0.015625,0.9999499253225891,512.0,0.5,False,3427559039
2,10,1,100.0,0.0689,0.0,0.0,0.546175,0.01953125,0.009765625,3.123069145619171e-10,355,Ceiling,20,0.01953125,0.9999998990793731,512.0,0.5,False,3427559039
2,10,1,100.0,0.0689,0.0,0.0,0.546175,0.01953125,0.009765625,3.123069145619171e-10,355,Ceiling,25,0.0244140625,0.999999950623311,512.0,0.5,False,3427559039
2,10,1,100.0,0.0689,0.0,0.0,0.546175,0.01953125,0.009765625,3.123069145619171e-10,355,Ceiling,31,0.0302734375,0.9999999622743754,512.0,0.5,False,3427559039
2,10,1,100.0,0.0689,0.0,0.0,0.546175,0.01953125,0.009765625,3.123069145619171e-10,355,Ceiling,39,0.0380859375,0.9999999724844639,512.0,0.5,False,3427559039
2,10,1,100.0,0.0689,0.0,0.0,0.546175,0.01953125,0.009765625,3.123069145619171e-10,355,Ceiling,48,0.046875,0.9999999837281646,512.0,0.5,False,3427559039
2,10,1,100.0,0.0689,0.0,0.0,0.546175,0.01953125,0.009765625,3.123069145619171e-10,355,Ceiling,60,0.05859375,0.9999999949966346,512.0,0.5,False,3427559039
2,10,1,100.0,0.0689,0.0,0.0,0.546175,0.01953125,0.009765625,3.123069145619171e-10,355,Ceiling,74,0.072265625,0.9999999993694536,512.0,0.5,False,3427559039
2,10,1,100.0,0.0689,0.0,0.0,0.546175,0.01953125,0.009765625,3.123069145619171e-10,355,Ceiling,92,0.08984375,0.9999999999976423,512.0,0.5,False,3427559039
2,10,1,100.0,0.0689,0.0,0.0,0.546175,0.01953125,0.009765625,3.123069145619171e-10,355,Ceiling,114,0.111328125,0.9999999999994658,512.0,0.5,False,3427559039
2,10,1,100.0,0.0689,0.0,0.0,0.546175,0.01953125,0.009765625,3.123069145619171e-10,355,Ceiling,141,0.1376953125,1.0000000000000004,512.0,0.5,False,3427559039
2,10,1,100.0,0.0689,0.0,0.0,0.546175,0.01953125,0.009765625,3.123069145619171e-10,355,Ceiling,175,0.1708984375,1.0000000000000004,512.0,0.5,False,3427559039
