Hamiltonian_Index,Number_of_Sites,Max_Interactions,Fidelity,Penalty_Strength,Ground_State_Density,Hamiltonian_Density,Overlap,BARK_Pool_Size,SKQD_Pool_Size,Seed
1,8,2,0.85,1.0,0.37109375,0.03515625,2.8241251778505457e-36,inf,inf,2009560850
1,8,2,0.9,1.0,0.37109375,0.03515625,2.8241251778505457e-36,inf,inf,2009560850
1,8,2,0.95,1.0,0.37109375,0.03515625,2.8241251778505457e-36,inf,inf,2009560850
1,8,2,0.99,1.0,0.37109375,0.03515625,2.8241251778505457e-36,inf,inf,2009560850
1,8,2,0.8,1.0,0.37109375,0.03515625,5.6893926579798715e-36,inf,inf,2009560850
1,8,2,0.85,1.0,0.37109375,0.03515625,5.6893926579798715e-36,inf,inf,2009560850
1,8,2,0.9,1.0,0.37109375,0.03515625,5.6893926579798715e-36,inf,inf,2009560850
1,8,2,0.95,1.0,0.37109375,0.03515625,5.6893926579798715e-36,inf,inf,2009560850
1,8,2,0.99,1.0,0.37109375,0.03515625,5.6893926579798715e-36,inf,inf,2009560850
1,8,2,0.8,1.0,0.37109375,0.03515625,9.885907490415438e-36,inf,inf,2009560850
1,8,2,0.85,1.0,0.37109375,0.03515625,9.885907490415438e-36,inf,inf,2009560850
1,8,2,0.9,1.0,0.37109375,0.03515625,9.885907490415438e-36,inf,inf,2009560850
1,8,2,0.95,1.0,0.37109375,0.03515625,9.885907490415438e-36,inf,inf,2009560850
1,8,2,0.99,1.0,0.37109375,0.03515625,9.885907490415438e-36,inf,inf,2009560850
4,8,2,0.8,10.0,0.03515625,0.03515625,0.0001000657761016677,2.0,inf,2994338518
4,8,2,0.85,10.0,0.03515625,0.03515625,0.0001000657761016677,2.0,inf,2994338518
4,8,2,0.9,10.0,0.03515625,0.03515625,0.0001000657761016677,2.0,inf,2994338518
4,8,2,0.95,10.0,0.03515625,0.03515625,0.0001000657761016677,2.0,inf,2994338518
4,8,2,0.99,10.0,0.03515625,0.03515625,0.0001000657761016677,2.0,inf,2994338518
4,8,2,0.8,10.0,0.03515625,0.03515625,0.0003407161487101902,2.0,inf,2994338518
4,8,2,0.85,10.0,0.03515625,0.03515625,0.0003407161487101902,2.0,inf,2994338518
4,8,2,0.9,10.0,0.03515625,0.03515625,0.0003407161487101902,2.0,inf,2994338518
4,8,2,0.95,10.0,0.03515625,0.03515625,0.0003407161487101902,2.0,inf,2994338518
4,8,2,0.99,10.0,0.03515625,0.03515625,0.0003407161487101902,2.0,inf,2994338518
4,8,2,0.8,10.0,0.03515625,0.03515625,0.00041105888627593963,2.0,inf,2994338518
4,8,2,0.85,10.0,0.03515625,0.03515625,0.00041105888627593963,2.0,inf,2994338518
4,8,2,0.9,10.0,0.03515625,0.03515625,0.00041105888627593963,2.0,inf,2994338518
4,8,2,0.95,10.0,0.03515625,0.03515625,0.00041105888627593963,2.0,inf,2994338518
4,8,2,0.99,10.0,0.03515625,0.03515625,0.00041105888627593963,2.0,inf,2994338518
4,8,2,0.8,10.0,0.03515625,0.03515625,0.0019794294277846315,2.0,inf,2994338518
4,8,2,0.85,10.0,0.03515625,0.03515625,0.0019794294277846315,2.0,inf,2994338518
4,8,2,0.9,10.0,0.03515625,0.03515625,0.0019794294277846315,2.0,inf,2994338518
4,8,2,0.95,10.0,0.03515625,0.03515625,0.0019794294277846315,2.0,inf,2994338518
4,8,2,0.99,10.0,0.03515625,0.03515625,0.0019794294277846315,2.0,inf,2994338518
4,8,2,0.8,10.0,0.03515625,0.03515625,0.9971031194382469,2.0,inf,2994338518
4,8,2,0.85,10.0,0.03515625,0.03515625,0.9971031194382469,2.0,inf,2994338518
4,8,2,0.9,10.0,0.03515625,0.03515625,0.9971031194382469,2.0,inf,2994338518
4,8,2,0.95,10.0,0.03515625,0.03515625,0.9971031194382469,2.0,inf,2994338518
4,8,2,0.99,10.0,0.03515625,0.03515625,0.9971031194382469,2.0,inf,2994338518
4,8,2,0.8,10.0,0.03515625,0.03515625,0.0,inf,inf,2994338518
4,8,2,0.85,10.0,0.03515625,0.03515625,0.0,inf,inf,2994338518
4,8,2,0.9,10.0,0.03515625,0.03515625,0.0,inf,inf,2994338518
4,8,2,0.95,10.0,0.03515625,0.03515625,0.0,inf,inf,2994338518
4,8,2,0.99,10.0,0.03515625,0.03515625,0.0,inf,inf,2994338518
4,8,2,0.8,10.0,0.03515625,0.03515625,0.0,inf,inf,2994338518
4,8,2,0.85,10.0,0.03515625,0.03515625,0.0,inf,inf,2994338518
4,8,2,0.9,10.0,0.03515625,0.03515625,0.0,inf,inf,2994338518
4,8,2,0.95,10.0,0.03515625,0.03515625,0.0,inf,inf,2994338518
4,8,2,0.99,10.0,0.03515625,0.03515625,0.0,inf,inf,2994338518
4,8,2,0.8,10.0,0.03515625,0.03515625,0.0,inf,inf,2994338518
4,8,2,0.85,10.0,0.03515625,0.03515625,0.0,inf,inf,2994338518
4,8,2,0.9,10.0,0.03515625,0.03515625,0.0,inf,inf,2994338518
4,8,2,0.95,10.0,0.03515625,0.03515625,0.0,inf,inf,2994338518
4,8,2,0.99,10.0,0.03515625,0.03515625,0.0,inf,inf,2994338518
4,8,2,0.8,10.0,0.03515625,0.03515625,6.371425342111577e-49,inf,inf,2994338518
4,8,2,0.85,10.0,0.03515625,0.03515625,6.371425342111577e-49,inf,inf,2994338518
4,8,2,0.9,10.0,0.03515625,0.03515625,6.371425342111577e-49,inf,inf,2994338518
4,8,2,0.95,10.0,0.03515625,0.03515625,6.371425342111577e-49,inf,inf,2994338518
4,8,2,0.99,10.0,0.03515625,0.03515625,6.371425342111577e-49,inf,inf,2994338518
4,8,2,0.8,10.0,0.03515625,0.03515625,3.437601774521702e-48,inf,inf,2994338518
4,8,2,0.85,10.0,0.03515625,0.03515625,3.437601774521702e-48,inf,inf,2994338518
4,8,2,0.9,10.0,0.03515625,0.03515625,3.437601774521702e-48,inf,inf,2994338518
4,8,2,0.95,10.0,0.03515625,0.03515625,3.437601774521702e-48,inf,inf,2994338518
4,8,2,0.99,10.0,0.03515625,0.03515625,3.437601774521702e-48,inf,inf,2994338518
8,8,2,0.8,0.1,0.48046875,0.03515625,0.04040069491154426,76.0,84.0,357396859
8,8,2,0.85,0.1,0.48046875,0.03515625,0.04040069491154426,78.0,95.0,357396859
8,8,2,0.9,0.1,0.48046875,0.03515625,0.04040069491154426,82.0,111.0,357396859
8,8,2,0.95,0.1,0.48046875,0.03515625,0.04040069491154426,92.0,119.0,357396859
8,8,2,0.99,0.1,0.48046875,0.03515625,0.04040069491154426,109.0,inf,357396859
8,8,2,0.8,0.1,0.48046875,0.03515625,0.040855375164418846,60.0,69.0,357396859
8,8,2,0.85,0.1,0.48046875,0.03515625,0.040855375164418846,66.0,81.0,357396859
8,8,2,0.9,0.1,0.48046875,0.03515625,0.040855375164418846,69.0,inf,357396859
8,8,2,0.95,0.1,0.48046875,0.03515625,0.040855375164418846,80.0,118.0,357396859
8,8,2,0.99,0.1,0.48046875,0.03515625,0.040855375164418846,104.0,124.0,357396859
8,8,2,0.8,0.1,0.48046875,0.03515625,0.04117079113911643,106.0,102.0,357396859
