Number_of_Sites,Ground_State_Density,Hamiltonian_Density,Max_Interactions,Fidelity,Overlap,BARK_Pool_Size,SKQD_Pool_Size
8,0.98046875,0.0625,2,0.9,0.0571609816799942,143,118
8,0.98046875,0.0625,2,0.9,0.09242011198364679,143,120
8,0.98046875,0.0625,2,0.9,0.10174557161420565,143,125
8,0.98046875,0.0625,2,0.9,0.16917362608425784,147,128
8,0.98046875,0.0625,2,0.9,2.1197030298956675e-07,198,inf
8,0.98046875,0.0625,2,0.9,4.3202759654047203e-07,194,236
8,0.98046875,0.0625,2,0.9,5.349586785897872e-07,196,inf
8,0.98046875,0.0625,2,0.9,6.548391725692004e-07,195,inf
8,0.98046875,0.0625,2,0.9,7.040381307573566e-07,142,inf
6,1.0,0.15625,1,0.8,0.0485898297853595,23,38
6,1.0,0.15625,1,0.8,0.06092872175157315,23,39
6,1.0,0.15625,1,0.8,0.08902572827499557,24,26
6,1.0,0.15625,1,0.8,0.1264256473698428,23,inf
6,1.0,0.15625,1,0.8,0.255314771987709,23,20
6,1.0,0.15625,1,0.8,2.833777057734291e-05,25,inf
6,1.0,0.15625,1,0.8,9.106664058556174e-05,24,60
6,1.0,0.15625,1,0.8,0.00010916739387487891,24,51
6,1.0,0.15625,1,0.8,0.00012964576379330045,24,inf
6,1.0,0.15625,1,0.8,0.0001330616130885384,26,55
6,1.0,0.15625,1,0.85,0.0485898297853595,26,39
6,1.0,0.15625,1,0.85,0.06092872175157315,27,39
6,1.0,0.15625,1,0.85,0.08902572827499557,34,33
6,1.0,0.15625,1,0.85,0.1264256473698428,27,29
6,1.0,0.15625,1,0.85,0.255314771987709,27,26
6,1.0,0.15625,1,0.85,2.833777057734291e-05,28,61
6,1.0,0.15625,1,0.85,9.106664058556174e-05,28,inf
6,1.0,0.15625,1,0.85,0.00010916739387487891,26,57
6,1.0,0.15625,1,0.85,0.00012964576379330045,35,inf
6,1.0,0.15625,1,0.85,0.0001330616130885384,36,58
6,1.0,0.15625,1,0.9,0.0485898297853595,34,51
6,1.0,0.15625,1,0.9,0.06092872175157315,33,43
6,1.0,0.15625,1,0.9,0.08902572827499557,35,inf
6,1.0,0.15625,1,0.9,0.1264256473698428,33,39
6,1.0,0.15625,1,0.9,0.255314771987709,33,39
6,1.0,0.15625,1,0.9,2.833777057734291e-05,36,55
6,1.0,0.15625,1,0.9,9.106664058556174e-05,36,63
6,1.0,0.15625,1,0.9,0.00010916739387487891,34,inf
6,1.0,0.15625,1,0.9,0.00012964576379330045,36,56
6,1.0,0.15625,1,0.9,0.0001330616130885384,37,59
6,1.0,0.203125,2,0.8,0.04481385745443195,6,34
6,1.0,0.203125,2,0.8,0.05285957304891757,6,inf
6,1.0,0.203125,2,0.8,0.1095854790279729,8,20
6,1.0,0.203125,2,0.8,0.1677949329202439,8,12
6,1.0,0.203125,2,0.8,0.41804257829745795,8,13
6,1.0,0.203125,2,0.8,1.2364845170640192e-05,8,inf
6,1.0,0.203125,2,0.8,1.5639088959650045e-05,11,60
6,1.0,0.203125,2,0.8,2.4094408808768765e-05,8,inf
6,1.0,0.203125,2,0.8,2.4206567471664607e-05,9,inf
6,1.0,0.203125,2,0.8,2.5456222242679238e-05,9,54
6,1.0,0.203125,2,0.85,0.04481385745443195,10,29
6,1.0,0.203125,2,0.85,0.05285957304891757,9,19
6,1.0,0.203125,2,0.85,0.1095854790279729,12,21
6,1.0,0.203125,2,0.85,0.1677949329202439,12,26
6,1.0,0.203125,2,0.85,0.41804257829745795,11,18
6,1.0,0.203125,2,0.85,1.2364845170640192e-05,11,61
6,1.0,0.203125,2,0.85,1.5639088959650045e-05,15,55
6,1.0,0.203125,2,0.85,2.4094408808768765e-05,11,54
6,1.0,0.203125,2,0.85,2.4206567471664607e-05,13,inf
6,1.0,0.203125,2,0.85,2.5456222242679238e-05,12,inf
6,1.0,0.203125,2,0.9,0.04481385745443195,19,36
6,1.0,0.203125,2,0.9,0.05285957304891757,15,25
6,1.0,0.203125,2,0.9,0.1095854790279729,13,26
6,1.0,0.203125,2,0.9,0.1677949329202439,13,25
6,1.0,0.203125,2,0.9,0.41804257829745795,13,17
6,1.0,0.203125,2,0.9,1.2364845170640192e-05,15,60
6,1.0,0.203125,2,0.9,1.5639088959650045e-05,16,61
6,1.0,0.203125,2,0.9,2.4094408808768765e-05,16,53
6,1.0,0.203125,2,0.9,2.4206567471664607e-05,14,57
6,1.0,0.203125,2,0.9,2.5456222242679238e-05,14,64
8,1.0,0.05078125,1,0.8,0.03622009187267132,57,87
8,1.0,0.05078125,1,0.8,0.04263531354955319,54,115
8,1.0,0.05078125,1,0.8,0.0432863755206395,54,93
8,1.0,0.05078125,1,0.8,0.07127646511116927,55,86
8,1.0,0.05078125,1,0.8,0.07236489139454598,54,96
8,1.0,0.05078125,1,0.8,1.6315444209167414e-05,143,inf
8,1.0,0.05078125,1,0.8,1.6787577573011462e-05,146,inf
8,1.0,0.05078125,1,0.8,1.7248189948970332e-05,55,inf
8,1.0,0.05078125,1,0.8,1.774731493977231e-05,55,inf
8,1.0,0.05078125,1,0.8,1.9789292590157784e-05,147,inf
8,1.0,0.05078125,1,0.85,0.03622009187267132,62,119
8,1.0,0.05078125,1,0.85,0.04263531354955319,61,127
8,1.0,0.05078125,1,0.85,0.0432863755206395,61,118
8,1.0,0.05078125,1,0.85,0.07127646511116927,62,109
8,1.0,0.05078125,1,0.85,0.07236489139454598,61,121
8,1.0,0.05078125,1,0.85,1.6315444209167414e-05,149,inf
8,1.0,0.05078125,1,0.85,1.6787577573011462e-05,152,inf
8,1.0,0.05078125,1,0.85,1.7248189948970332e-05,63,inf
8,1.0,0.05078125,1,0.85,1.774731493977231e-05,63,inf
8,1.0,0.05078125,1,0.85,1.9789292590157784e-05,153,inf
8,1.0,0.05078125,1,0.9,0.03622009187267132,80,129
8,1.0,0.05078125,1,0.9,0.04263531354955319,81,138
8,1.0,0.05078125,1,0.9,0.0432863755206395,81,126
8,1.0,0.05078125,1,0.9,0.07127646511116927,80,126
8,1.0,0.05078125,1,0.9,0.07236489139454598,81,152
8,1.0,0.05078125,1,0.9,1.6315444209167414e-05,154,inf
8,1.0,0.05078125,1,0.9,1.6787577573011462e-05,157,inf
8,1.0,0.05078125,1,0.9,1.7248189948970332e-05,81,inf
8,1.0,0.05078125,1,0.9,1.774731493977231e-05,81,inf
8,1.0,0.05078125,1,0.9,1.9789292590157784e-05,158,inf
8,1.0,0.06640625,2,0.8,0.03609143645742651,89,174
8,1.0,0.06640625,2,0.8,0.03615847659925853,89,143
8,1.0,0.06640625,2,0.8,0.046930492270325024,88,173
8,1.0,0.06640625,2,0.8,0.04818367459150137,89,155
8,1.0,0.06640625,2,0.8,0.04827317616571586,89,193
8,1.0,0.06640625,2,0.8,2.0219456792496776e-05,108,241
8,1.0,0.06640625,2,0.8,3.0556079165246885e-05,102,235
8,1.0,0.06640625,2,0.8,3.093726287260041e-05,97,inf
8,1.0,0.06640625,2,0.8,3.620694608444782e-05,117,221
8,1.0,0.06640625,2,0.8,4.4236970403822485e-05,108,235
8,1.0,0.06640625,2,0.85,0.03609143645742651,119,188
8,1.0,0.06640625,2,0.85,0.03615847659925853,119,176
8,1.0,0.06640625,2,0.85,0.046930492270325024,109,184
8,1.0,0.06640625,2,0.85,0.04818367459150137,119,173
8,1.0,0.06640625,2,0.85,0.04827317616571586,119,178
8,1.0,0.06640625,2,0.85,2.0219456792496776e-05,130,236
8,1.0,0.06640625,2,0.85,3.0556079165246885e-05,125,243
8,1.0,0.06640625,2,0.85,3.093726287260041e-05,118,242
8,1.0,0.06640625,2,0.85,3.620694608444782e-05,134,247
